target,BJD,RV_mlc_nzp,e_RV_mlc_nzp
HD69830,2453790.75352146,30301.4055662929,0.18324556867788
HD69830,2453809.60439345,30302.4968049139,0.212815726303373
HD69830,2453809.60831683,30301.7076546615,0.202892761100661
HD69830,2453809.61222864,30301.7209072248,0.201736177728745
HD69830,2453810.65837101,30297.3143393957,0.260299422461986
HD69830,2453810.66214394,30297.6143386626,0.237723519487588
HD69830,2453810.6660326,30297.4095320218,0.245662750028633
HD69830,2453811.68304364,30294.2515271116,0.203671618992401
HD69830,2453811.68821694,30294.3062500222,0.215929730088624
HD69830,2453812.64591341,30293.2251445505,0.24639008695895
HD69830,2453812.64981363,30292.7956842196,0.236305726457407
HD69830,2453812.65359813,30293.0371488794,0.238585062121716
HD69830,2453813.63030869,30294.3762488623,0.192318714565957
HD69830,2453813.63556299,30294.2085153301,0.17832484028048
HD69830,2453814.6618991,30292.7666201895,0.212857808192785
HD69830,2453814.66706081,30292.8263874242,0.199903660221007
HD69830,2453815.69393984,30295.3200647991,0.185042262890471
HD69830,2453815.69919413,30295.1608093856,0.183281827829002
HD69830,2453816.63893662,30298.0859537438,0.182515220014758
HD69830,2453816.64414462,30297.533248563,0.176663602412323
HD69830,2453817.6580249,30300.3034756178,0.228731583316969
HD69830,2453817.66317503,30299.7194628365,0.220366706489421
HD69830,2453829.64750926,30298.4835009904,0.186905628560076
HD69830,2453829.65267091,30298.7818444974,0.179381563301606
HD69830,2453830.56085446,30298.2554223316,0.177192969517494
HD69830,2453830.56590037,30298.0764414481,0.182290952028568
HD69830,2453831.59640043,30297.8230215485,0.173504961984379
HD69830,2453831.60143477,30298.2821894987,0.20016798354284
HD69830,2453832.58971523,30300.043725647,0.182673200796589
HD69830,2453832.59474957,30299.7920933798,0.185869499445437
HD69830,2453833.58545984,30303.3804899885,0.162353959921869
HD69830,2453833.59048259,30303.5998638047,0.165406649823448
HD69830,2453834.57166761,30304.0150580591,0.171170787392799
HD69830,2453835.61250019,30304.6253825623,0.216652590318711
HD69830,2453835.61771969,30304.0622830644,0.202767332091308
HD69830,2453836.63758117,30301.3718646648,0.190332048437371
HD69830,2453836.64260392,30301.8425297698,0.18696841930666
HD69830,2453861.57294516,30305.7877891121,0.297357425095314
HD69830,2453861.57646339,30304.765622553,0.312846504899912
HD69830,2453861.57995846,30305.4094983369,0.318390728253817
HD69830,2453862.48894479,30303.8318413819,0.197494802792878
HD69830,2453862.49245144,30303.7480866181,0.197690131447201
HD69830,2453862.49595809,30303.0172853345,0.203571104433122
HD69830,2453863.52243472,30301.0281343063,0.187748445633131
HD69830,2453863.52594137,30301.0809801529,0.191736362619
HD69830,2453863.52944802,30299.9374325832,0.197332279418069
HD69830,2453864.51443524,30299.0024665665,0.244111606832943
HD69830,2453864.51809234,30299.2874957624,0.258957625946762
HD69830,2453864.52166843,30298.7510625988,0.259375621613217
HD69830,2453865.49296485,30297.8013127756,0.191645658392407
HD69830,2453865.49650623,30297.9616434265,0.188191494860567
HD69830,2453865.50001288,30297.357443005,0.189443493804266
HD69830,2453866.48511623,30297.2643052278,0.171569005246888
HD69830,2453866.48859974,30296.6421895129,0.178536466740712
HD69830,2453866.49214111,30296.5416222219,0.188587646979956
